Platform,instance,processor_manufacturer,processor,number_of_cores,memory_size(RAM),frequency,load_percentile,power,p100,p0,limitations
,m2-megamem-416,Intel,8280L,416,5888,2.7,30,324,915,94.2,
,m2-megamem-416,Intel,8280L,416,5888,2.7,20,282,915,94.2,
,m2-megamem-416,Intel,8280L,416,5888,2.7,10,238,915,94.2,
,m2-megamem-416,Intel,8280L,416,5888,2.7,0,94.2,915,94.2,
,u-6tb1.56xlarge,Intel,8176M,224,6144,2.1,100,1417,1417,193,mem 192
,u-6tb1.56xlarge,Intel,8176M,224,6144,2.1,90,1287,1417,193,
,u-6tb1.56xlarge,Intel,8176M,224,6144,2.1,80,1139,1417,193,
,u-6tb1.56xlarge,Intel,8176M,224,6144,2.1,70,1003,1417,193,
,u-6tb1.56xlarge,Intel,8176M,224,6144,2.1,60,888,1417,193,
,u-6tb1.56xlarge,Intel,8176M,224,6144,2.1,50,783,1417,193,
,u-6tb1.56xlarge,Intel,8176M,224,6144,2.1,40,689,1417,193,
,u-6tb1.56xlarge,Intel,8176M,224,6144,2.1,30,598,1417,193,
,u-6tb1.56xlarge,Intel,8176M,224,6144,2.1,20,513,1417,193,
,u-6tb1.56xlarge,Intel,8176M,224,6144,2.1,10,427,1417,193,
,u-6tb1.56xlarge,Intel,8176M,224,6144,2.1,0,193,1417,193,
